Université;Pays;Année;Accord;Nombre S7;Nombre S8;Nombre S9;Latitude;Longitude;;;;;;;;;;;;;;;;;
Universidade Estadual de Londrina;Brésil;2018-2019;BRAFAGRI;0;0;0;23,3249735;-51,201804;;;;;;;;;;;;;;;;;
"Escola Superior de Agricultura ""Luiz de Queiroz"" ESALQ
";Brésil;2018-2019;BRAFAGRI;0;0;0;-22,7075612;-47,6286357;;;;;;;;;;;;;;;;;
Universidade Estadual Paulista Julio de Mesquita Filho - UNESP;Brésil;2018-2019;BRAFITEC;0;0;0;-23,98138809;-48,88452911;;;;;;;;;;;;;;;;;
Universidade Federal Rural de Pernambuco;Brésil;2018-2019;BRAFAGRI;0;0;0;-8,0145172;-34,9508334;;;;;;;;;;;;;;;;;
Institut National Agronomique de Tunis;Tunisie;2018-2019;Bilatéral;0;0;0;36,8305938;10,1829614;;;;;;;;;;;;;;;;;
Université Libanaise;Liban;2018-2019;Bilatéral;0;1;0;33,8735083;35,5445186;;;;;;;;;;;;;;;;;
Universitat Gottingen;Allemagne;2018-2019;ERASMUS;0;1;0;51,5592251;9,9524442;;;;;;;;;;;;;;;;;
Universitat zu Kiel;Allemagne;2018-2019;ERASMUS;0;2;0;54,3458218;10,113073;;;;;;;;;;;;;;;;;
Universitat Bonn;Allemagne;2018-2019;ERASMUS;0;0;0;50,7054928;7,1298492;;;;;;;;;;;;;;;;;
"Wageningen University
";Pays-bas;2018-2019;ERASMUS;0;2;0;51,985445;5,663212;;;;;;;;;;;;;;;;;
"Norwegian University of Life Sciences 
";Norvège;2018-2019;ERASMUS;0;0;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
NMBU;Norvège;2018-2019;ERASMUS;0;3;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
"Corvinus University 
";Hongrie;2018-2019;ERASMUS;0;0;0;47,4863023;19,0580989;;;;;;;;;;;;;;;;;
"Godollo
";Hongrie;2018-2019;ERASMUS;0;1;0;47,5937498;19,3633947;;;;;;;;;;;;;;;;;
"University of Helsinki 
";Finlande;2018-2019;ERASMUS;0;7;0;60,1756483;24,95355;;;;;;;;;;;;;;;;;
Lund University;Suède;2018-2019;ERASMUS;0;0;0;55,7126504;13,2107587;;;;;;;;;;;;;;;;;
"Universita degli Studi di Padoue 
";Italie;2018-2019;ERASMUS;0;2;0;45,4036716;11,8768208;;;;;;;;;;;;;;;;;
Universita Bologna;Italie;2018-2019;ERASMUS;0;1;0;44,4351271;11,4857979;;;;;;;;;;;;;;;;;
"SRUC
";Ecosse;2018-2019;ERASMUS;0;6;0;55,9214073;-3,1770584;;;;;;;;;;;;;;;;;
"Maich 
";Grèce;2018-2019;ERASMUS;0;0;0;35,51124;24,02921;;;;;;;;;;;;;;;;;
Kavala;Grèce;2018-2019;ERASMUS;0;0;0;40,9369224;24,4122766;;;;;;;;;;;;;;;;;
"Boku
";Autriche;2018-2019;ERASMUS;0;5;0;48,2365408;16,3361712;;;;;;;;;;;;;;;;;
Universiteit Gent ;Belgique;2018-2019;ERASMUS;0;2;0;51,0359404;3,7232481;;;;;;;;;;;;;;;;;
Universiteit Leuven ;Belgique;2018-2019;ERASMUS;0;0;0;50,87959;4,70093;;;;;;;;;;;;;;;;;
Czech University ;République Tchèque;2018-2019;ERASMUS;0;9;0;50,1301754;14,3737163;;;;;;;;;;;;;;;;;
Universidad Politecnica de Valence;Espagne;2018-2019;ERASMUS;0;0;0;39,33333;-0,83333;;;;;;;;;;;;;;;;;
Universitad Politecnica de Madrid ;Espagne;2018-2019;ERASMUS;0;1;0;40,4404332;-3,7310299;;;;;;;;;;;;;;;;;
Universidad de Lleida;Espagne;2018-2019;ERASMUS;0;0;0;41,61878;0,57472;;;;;;;;;;;;;;;;;
